rank,composite,venue,year,is_seed,cites_cluster,cited_by_seed,indegree,cited_by_count,lex,facets,title,authors,oa_url,key
1,31.85,ICAIL,2005,1,13,7,8,144,6,bounded-deontics|defeasible-fm,Temporalised Normative Positions in Defeasible Logic,Guido Governatori; Antonino Rotolo; Giovanni Sartor,http://espace.library.uq.edu.au/view/UQ:9579/ic05.pdf,conf/icail/GovernatoriRS05
2,28.38,ICAIL,2011,1,27,7,8,29,3,defeasible-fm,On the relationship between Carneades and Defeasible Logic,Guido Governatori,,conf/icail/Governatori11
3,27.52,ICAIL,2015,1,7,3,5,51,8,bounded-deontics|defeasible-fm,Thou shalt is not you will,Guido Governatori,https://arxiv.org/pdf/1404.1685,conf/icail/Governatori15
4,26.04,ICAIL,2007,1,5,6,10,41,4,bounded-deontics|defeasible-fm,Variants of temporal defeasible logics for modelling norm modifications,Guido Governatori; Antonino Rotolo; Régis Riveret; Monica Palmirani; Giovanni Sartor,http://espace.library.uq.edu.au/view/UQ:13611/icail.pdf,conf/icail/GovernatoriRRPS07
5,25.34,ICAIL,2015,1,16,7,8,25,0,,"Factors, issues and values: revisiting reasoning with cases",Latifa Al-Abdulkarim; Katie Atkinson; Trevor J. M. Bench-Capon,,conf/icail/Al-AbdulkarimAB15
6,25.25,ICAIL,2015,1,8,1,3,31,8,bounded-deontics|defeasible-fm|determinacy,Deontic defeasible reasoning in legal interpretation: two options for modelling interpretive arguments,Antonino Rotolo; Guido Governatori; Giovanni Sartor,,conf/icail/RotoloGS15
7,23.89,ICAIL,2011,1,11,4,4,27,2,defeasible-fm,Towards formalising argumentation about legal cases,Adam Z. Wyner; Trevor J. M. Bench-Capon; Katie Atkinson,https://zenodo.org/record/3438411,conf/icail/WynerBA11
8,23.62,JURIX,2021,1,7,6,6,8,0,,Explaining Factor Ascription,Jack Mumford; Katie Atkinson; Trevor J. M. Bench-Capon,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA210335,conf/jurix/MumfordAB21
9,23.57,ICAIL,2003,1,12,3,5,31,3,defeasible-fm,Induction of Defeasible Logic Theories in the Legal Domain,Benjamin Johnston; Guido Governatori,,conf/icail/JohnstonG03
10,23.06,JURIX,2013,1,9,3,3,16,3,defeasible-fm,Argumentation Schemes for Reasoning about Factors with Dimensions,Katie Atkinson; Trevor J. M. Bench-Capon; Henry Prakken; Adam Z. Wyner,,conf/jurix/AtkinsonBPW13
11,22.9,ICAIL,2005,1,12,3,6,63,2,defeasible-fm,Dialogues about the burden of proof,Henry Prakken; Chris Reed; Douglas Walton,https://scholar.uwindsor.ca/cgi/viewcontent.cgi?article=1009&context=crrarpub,conf/icail/PrakkenRW05
12,22.77,ICAIL,2011,1,8,3,6,40,2,defeasible-fm,Analyzing open source license compatibility issues with Carneades,Thomas F. Gordon,http://publica.fraunhofer.de/documents/N-189297.html,conf/icail/Gordon11
13,22.62,JURIX,2011,1,4,5,11,84,3,bounded-deontics|cnl|intro-executable,On Rule Extraction from Regulations,Adam Z. Wyner; Wim Peters,,conf/jurix/WynerP11
14,22.44,ICAIL,2005,1,5,8,10,159,0,,"A study of accrual of arguments, with applications to evidential reasoning",Henry Prakken,https://pure.rug.nl/ws/files/2875708/icail05hp.pdf,conf/icail/Prakken05
15,22.32,ICAIL,2021,1,8,0,0,10,9,cnl|determinacy|intro-executable,"Converting copyright legislation into machine-executable code: interpretation, coding validation and legal alignment",Alice Witt; Anna Huggins; Guido Governatori; Joshua Buckley,https://figshare.com/articles/conference_contribution/Converting_copyright_legislation_into_machine-executable_code_interpretation_coding_validation_and_legal_alignment/27593496,conf/icail/WittHGB21
16,22.04,ICAIL,2009,1,12,2,5,28,3,cnl,Isomorphism and argumentation,Trevor J. M. Bench-Capon; Thomas F. Gordon,,conf/icail/Bench-CaponG09
17,21.92,JURIX,2016,1,11,4,5,18,0,,Statement Types in Legal Argument,Latifa Al-Abdulkarim; Katie Atkinson; Trevor J. M. Bench-Capon,,conf/jurix/Al-AbdulkarimAB16
18,21.88,JURIX,2017,1,9,4,5,16,0,,Dimensions and Values for Legal CBR,Trevor J. M. Bench-Capon; Katie Atkinson,,conf/jurix/Bench-CaponA17
19,21.83,JURIX,2018,1,10,4,5,13,0,,Lessons from Implementing Factors with Magnitude,Trevor J. M. Bench-Capon; Katie Atkinson,https://doi.org/10.3233/978-1-61499-935-5-11,conf/jurix/Bench-CaponA18
20,21.81,JURIX,2020,1,10,0,0,1,8,bounded-deontics|defeasible-fm,Free Choice Permission in Defeasible Deontic Logic,Guido Governatori; Antonino Rotolo,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA200853,conf/jurix/GovernatoriR20
21,21.79,ICAIL,2009,1,11,2,2,78,3,defeasible-fm,Legal reasoning with argumentation schemes,Thomas F. Gordon; Douglas Walton,,conf/icail/GordonW09
22,21.78,ICAIL,2007,1,9,3,6,41,1,defeasible-fm,Formalising arguments about the burden of persuasion,Henry Prakken; Giovanni Sartor,https://doi.org/10.2139/ssrn.998206,conf/icail/PrakkenS07
23,21.59,JURIX,2011,1,5,7,7,21,0,,Relating Values in a Series of Supreme Court Decisions,Trevor J. M. Bench-Capon,,conf/jurix/Bench-Capon11
24,21.15,ICAIL,2017,0,8,6,7,18,0,,Reasoning with dimensions and magnitudes,John F. Horty,,conf/icail/Horty17
25,20.77,ICAIL,2001,1,7,2,3,65,3,defeasible-fm|intro-executable,A formal approach to legal negotiation,Guido Governatori; Marlon Dumas; Arthur H. M. ter Hofstede; Phillipa Oaks,http://espace.library.uq.edu.au/view/UQ:9619/governatori.pdf,conf/icail/GovernatoriDHO01
26,20.71,ICAIL,2023,1,5,1,1,8,17,bounded-deontics|defeasible-fm|determinacy,Deontic Ambiguities in Legal Reasoning,Guido Governatori; Antonino Rotolo,https://hdl.handle.net/11585/961928,conf/icail/GovernatoriR23
27,20.64,JURIX,2022,1,8,0,1,4,6,bounded-deontics|defeasible-fm,Stable Normative Explanations,Guido Governatori; Francesco Olivieri; Antonino Rotolo; Matteo Cristani,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA220447,conf/jurix/GovernatoriORC22
28,20.63,ICAIL,2011,1,6,4,5,27,1,defeasible-fm,Semantic models for policy deliberation,Katie Atkinson; Trevor J. M. Bench-Capon; Dan Cartwright; Adam Z. Wyner,http://cgi.csc.liv.ac.uk/~katie/icail11-b.pdf,conf/icail/AtkinsonBCW11
29,20.51,ICAIL,2009,1,14,3,5,25,0,,Case law in extended argumentation frameworks,Trevor J. M. Bench-Capon; Sanjay Modgil,http://www.dcs.kcl.ac.uk/staff/smodgil/ICAILcameraReady.pdf,conf/icail/Bench-CaponM09
30,20.48,ICAIL,2013,0,11,4,9,31,2,determinacy,Modeling teleological interpretation,Tomasz Zurek; Michal Araszkiewicz,http://ruj.uj.edu.pl/xmlui/handle/item/12551,conf/icail/ZurekA13
31,20.35,ICAIL,2013,1,20,3,4,24,0,,Argument schemes for reasoning with legal cases using values,Trevor J. M. Bench-Capon; Henry Prakken; Adam Z. Wyner; Katie Atkinson,,conf/icail/Bench-CaponPWA13
32,20.22,ICAIL,1993,1,7,2,7,46,2,defeasible-fm|determinacy,A Simple Computational Model for Nonmonotonic and Adversarial Legal Reasoning,Giovanni Sartor,https://dl.acm.org/doi/pdf/10.1145/158976.159001,conf/icail/Sartor93
33,20.21,ICAIL,2007,1,12,2,6,32,1,determinacy,Argumentation and standards of proof,Katie Atkinson; Trevor J. M. Bench-Capon,,conf/icail/AtkinsonB07
34,19.91,ICAIL,2013,1,18,0,0,78,5,bounded-deontics|cnl,OASIS LegalRuleML,Tara Athan; Harold Boley; Guido Governatori; Monica Palmirani; Adrian Paschke; Adam Z. Wyner,,conf/icail/AthanBGPPW13
35,19.82,ICAIL,2005,1,11,2,3,39,1,defeasible-fm,Arguing about cases as practical reasoning,Katie Atkinson; Trevor J. M. Bench-Capon; Peter McBurney,,conf/icail/AtkinsonBM05
36,19.73,JURIX,2010,1,6,3,4,11,2,defeasible-fm,Burdens of Proof in Monological Argumentation,Guido Governatori; Giovanni Sartor,,conf/jurix/GovernatoriS10
37,19.36,ICAIL,2017,0,6,7,12,39,0,,Predicting trade secret case outcomes using argument schemes and learned quantitative value effect tradeoffs,Matthias Grabmair,,conf/icail/Grabmair17
38,19.23,JURIX,2015,1,6,4,4,11,0,,"Cases and Stories, Dimensions and Scripts",Trevor J. M. Bench-Capon; Floris Bex,https://dspace.library.uu.nl/handle/1874/481187,conf/jurix/Bench-CaponB15
39,19.12,ICAIL,1987,1,1,6,22,109,1,intro-executable,Logic Programming for Large Scale Applications in Law: A Formalisation of Supplementary Benefit Legislation,Trevor J. M. Bench-Capon; G. O. Robinson; Tom Routen; Marek J. Sergot,https://dl.acm.org/doi/pdf/10.1145/41735.41757,conf/icail/Bench-CaponRRS87
40,18.91,DEON,2012,1,13,1,2,21,2,bounded-deontics|defeasible-fm,Possible World Semantics for Defeasible Deontic Logic,Guido Governatori; Antonino Rotolo; Erica Calardo,,conf/deon/GovernatoriRC12
41,18.87,ICAIL,2021,1,18,2,5,15,0,,Precedential constraint: the role of issues,Trevor J. M. Bench-Capon; Katie Atkinson,,conf/icail/Bench-CaponA21
42,18.86,ICAIL,2013,1,12,1,2,18,2,bounded-deontics|defeasible-fm,Legal contractions: a logical analysis,Guido Governatori; Antonino Rotolo; Francesco Olivieri; Simone Scannapieco,http://hdl.handle.net/10072/58750,conf/icail/GovernatoriROS13
43,18.8,ICAIL,2019,1,8,2,5,12,0,,Describing the Development of Case Law,John Henderson; Trevor J. M. Bench-Capon,,conf/icail/HendersonB19
44,18.79,ICAIL,2007,1,14,1,1,43,2,defeasible-fm,Strategic argumentation: a game theoretical investigation,Bram Roth; Régis Riveret; Antonino Rotolo; Guido Governatori,https://figshare.com/articles/journal_contribution/STRATEGIC_ARGUMENTATION/15109833,conf/icail/RothRRG07
45,18.7,ICAIL,2019,1,14,2,4,14,0,,Reasoning with Legal Cases: Analogy or Rule Application?,Katie Atkinson; Trevor J. M. Bench-Capon,,conf/icail/AtkinsonB19
46,18.63,JURIX,2016,1,7,1,3,7,3,determinacy,Interpretation Across Legal Systems,Alessandra Malerba; Antonino Rotolo; Guido Governatori,http://hdl.handle.net/11585/602591,conf/jurix/MalerbaRG16
47,18.55,ICAIL,2015,1,6,2,5,20,2,determinacy,A structure-guided approach to capturing bayesian reasoning about legal evidence in argumentation,Sjoerd T. Timmer; John-Jules Ch. Meyer; Henry Prakken; Silja Renooij; Bart Verheij,https://dspace.library.uu.nl/handle/1874/315730,conf/icail/TimmerMPRV15
48,18.5,JURIX,2014,1,2,2,3,26,7,defeasible-fm|determinacy,Argumentation Schemes for Statutory Interpretation: A Logical Analysis,Giovanni Sartor; Doug Walton; Fabrizio Macagno; Antonino Rotolo,https://scholar.uwindsor.ca/cgi/viewcontent.cgi?article=1032&context=crrarpub,conf/jurix/SartorWMR14
49,18.49,JURIX,2013,1,9,1,1,15,2,bounded-deontics|determinacy,Formalising arguments about norms,Henry Prakken; Giovanni Sartor,,conf/jurix/PrakkenS13
50,18.45,JURIX,2011,1,6,0,1,9,6,bounded-deontics|defeasible-fm,Three Concepts of Defeasible Permission,Guido Governatori; Francesco Olivieri; Antonino Rotolo; Simone Scannapieco,,conf/jurix/GovernatoriORS11
51,18.43,ICAIL,2013,0,9,0,0,15,16,bounded-deontics|defeasible-fm,Temporal deontic action logic for the verification of compliance to norms in ASP,Laura Giordano; Alberto Martelli; Daniele Theseider Dupré,,conf/icail/GiordanoMD13
52,18.41,JURIX,2014,1,8,2,2,21,0,,Abstract Dialectical Frameworks for Legal Reasoning,Latifa Al-Abdulkarim; Katie Atkinson; Trevor J. M. Bench-Capon,,conf/jurix/Al-AbdulkarimAB14
53,18.31,JURIX,2009,1,13,1,4,21,1,determinacy,"Lex Minus Dixit Quam Voluit, Lex Magis Dixit Quam Voluit: A Formal Study on Legal Compliance and Interpretation",Guido Boella; Guido Governatori; Antonino Rotolo; Leendert W. N. van der Torre,,conf/jurix/BoellaGRT09
54,18.29,JURIX,2013,1,9,0,0,9,4,bounded-deontics,Heuristics for Licenses Composition,Guido Governatori; Ho-Pun Lam; Antonino Rotolo; Serena Villata; Fabien Gandon,,conf/jurix/GovernatoriLRVG13
55,18.2,JURIX,2016,1,8,2,2,10,0,,ANGELIC Secrets: Bridging from Factors to Facts in US Trade Secrets,Latifa Al-Abdulkarim; Katie Atkinson; Trevor J. M. Bench-Capon,,conf/jurix/Al-AbdulkarimAB16a
56,18.17,ICAIL,2015,1,8,2,2,9,0,,Evaluating the use of abstract dialectical frameworks to represent case law,Latifa Al-Abdulkarim; Katie Atkinson; Trevor J. M. Bench-Capon,,conf/icail/Al-AbdulkarimAB15a
57,18.09,ICAIL,2017,0,6,1,1,15,10,bounded-deontics,The pragmatic oddity in norm-based deontic logics,Xavier Parent; Leendert W. N. van der Torre,https://zenodo.org/record/3502305,conf/icail/ParentT17
58,18.06,JURIX,2014,1,9,2,2,6,0,,Two Faces of Strategic Argumentation in the Law,Guido Governatori; Francesco Olivieri; Antonino Rotolo; Simone Scannapieco; Giovanni Sartor,,conf/jurix/GovernatoriORSS14
59,17.6,ICAIL,2025,1,10,0,0,0,4,bounded-deontics,Judicial Permission,Guido Governatori; Antonino Rotolo,https://doi.org/10.1145/3769126.3769250,conf/icail/GovernatoriR25
60,17.6,ICAIL,2025,0,23,0,0,0,8,bounded-deontics|defeasible-fm,Rule-based Deontic Case-based Reasoning,Antonino Rotolo; Cecilia Di Florio; Guido Governatori,https://dl.acm.org/doi/10.1145/3769126.3769242,conf/icail/RotoloFG25
61,17.41,JURIX,2019,1,6,0,2,2,5,bounded-deontics|defeasible-fm,Deontic Closure and Conflict in Legal Reasoning,Guido Governatori; Robert Mullins,https://doi.org/10.3233/faia190322,conf/jurix/GovernatoriM19
62,17.41,JURIX,2019,1,6,0,0,1,6,bounded-deontics|defeasible-fm,A Computational Model for Pragmatic Oddity,Guido Governatori; Antonino Rotolo,https://doi.org/10.3233/faia190323,conf/jurix/GovernatoriR19a
63,17.36,ICAIL,2007,1,4,1,3,23,5,defeasible-fm|determinacy,Constructing arguments with a computational model of an argumentation scheme for legal rules: interpreting legal rules as reasoning policies,Thomas F. Gordon,,conf/icail/Gordon07
64,17.34,JURIX,2010,1,4,1,1,4,6,bounded-deontics|defeasible-fm,Representations of Time within Normative MAS,Clara Smith; Antonino Rotolo; Giovanni Sartor,,conf/jurix/SmithRS10
65,17.32,ICAIL,2017,0,8,0,0,10,7,bounded-deontics|determinacy,Combining fuzzy logic and formal argumentation for legal interpretation,Célia da Costa Pereira; Andrea G. B. Tettamanzi; Beishui Liao; Alessandra Malerba; Antonino Rotolo; Leendert W. N. van der Torre,https://inria.hal.science/hal-01672343v1/document,conf/icail/PereiraTLMRT17
66,17.2,DEON,2004,1,5,2,2,82,2,bounded-deontics|defeasible-fm,"Defeasible Logic: Agency, Intention and Obligation",Guido Governatori; Antonino Rotolo,http://espace.library.uq.edu.au/view/UQ:9638/deon04.pdf,conf/deon/GovernatoriR04
67,17.19,JURIX,2016,1,18,1,1,5,1,defeasible-fm,When and How to Violate Norms,Trevor J. M. Bench-Capon; Sanjay Modgil,,conf/jurix/Bench-CaponM16
68,17.14,JURIX,2015,1,10,1,1,4,1,bounded-deontics,Burden of Compliance and Burden of Violation,Guido Governatori,,conf/jurix/Governatori15
69,17.05,DEON,2008,1,9,0,5,29,1,defeasible-fm,Changing Legal Systems: Abrogation and Annulment Part I: Revision of Defeasible Theories,Guido Governatori; Antonino Rotolo,http://espace.library.uq.edu.au/view/UQ:134084/part1.pdf,conf/deon/GovernatoriR08
70,17.03,ICAIL,2009,0,7,4,6,35,0,,"Ontological requirements for analogical, teleological, and hypothetical legal reasoning",Kevin D. Ashley,,conf/icail/Ashley09
71,17.02,ICAIL,2001,1,6,2,7,46,0,,Modelling reasoning about evidence in legal procedure,Henry Prakken,,conf/icail/Prakken01
72,16.98,ICAIL,1993,1,0,5,14,78,2,determinacy,Neural Networks and Open Texture,Trevor J. M. Bench-Capon,,conf/icail/Bench-Capon93
73,16.96,ICAIL,2017,0,18,1,9,29,3,intro-executable,"Formalizing arguments, rules and cases",Bart Verheij,https://research.rug.nl/en/publications/a314252a-c009-4bed-a850-f95ede78eb18,conf/icail/Verheij17
74,16.92,ICAIL,2011,0,12,3,8,34,0,,Facilitating case comparison using value judgments and intermediate legal concepts,Matthias Grabmair; Kevin D. Ashley,,conf/icail/GrabmairA11
75,16.81,ICAIL,2001,1,6,2,5,49,0,,Theory based explanation of case law domains,Trevor J. M. Bench-Capon; Giovanni Sartor,,conf/icail/Bench-CaponS01
76,16.79,JURIX,2011,1,8,1,2,14,0,,On modelling burdens and standards of proof in structured argumentation,Henry Prakken; Giovanni Sartor,,conf/jurix/PrakkenS11
77,16.45,ICAIL,2011,1,14,0,0,16,2,defeasible-fm,Modelling temporal legal rules,Monica Palmirani; Guido Governatori; Giuseppe Contissa,,conf/icail/PalmiraniGC11
78,16.4,ICAIL,2019,1,10,1,1,11,0,,Modelling Accrual of Arguments in ASPIC+,Henry Prakken,,conf/icail/Prakken19
79,16.37,DEON,2006,1,7,1,1,20,1,defeasible-fm,Addressing Moral Problems Through Practical Reasoning,Katie Atkinson; Trevor J. M. Bench-Capon,https://doi.org/10.1016/j.jal.2007.06.005,conf/deon/AtkinsonB06
80,16.37,JURIX,2013,1,9,1,1,10,0,,From Oral Hearing to Opinion in the U.S. Supreme Court,Latifa Al-Abdulkarim; Katie Atkinson; Trevor J. M. Bench-Capon,,conf/jurix/Al-AbdulkarimAB13
81,16.36,JURIX,2012,1,9,0,1,1,2,determinacy,Narrowing Legal Concepts,Guido Governatori; Francesco Olivieri; Antonino Rotolo; Simone Scannapieco,,conf/jurix/GovernatoriORS12
82,16.25,JURIX,2018,1,7,1,1,13,1,defeasible-fm,Legal Representation and Reasoning in Practice: A Critical Comparison,Sotiris Batsakis; George Baryannis; Guido Governatori; Ilias Tachmazidis; Grigoris Antoniou,https://doi.org/10.3233/978-1-61499-935-5-31,conf/jurix/BatsakisBGTA18
83,16.18,JURIX,2022,1,7,1,6,10,0,,Reasoning with Legal Cases: A Hybrid ADF-ML Approach,Jack Mumford; Katie Atkinson; Trevor J. M. Bench-Capon,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA220452,conf/jurix/MumfordAB22
84,16.02,ICAIL,2015,1,12,0,0,3,2,defeasible-fm,RuleOMS: a rule-based online management system,Mohammad Badiul Islam; Guido Governatori,,conf/icail/IslamG15
85,16.02,ICAIL,2021,1,9,0,0,3,2,bounded-deontics|defeasible-fm,Unravel legal references in defeasible deontic logic,Guido Governatori; Francesco Olivieri,http://hdl.handle.net/10072/407857,conf/icail/GovernatoriO21
86,15.98,JURIX,2022,1,11,1,1,2,0,,Implementing a Theory of a Legal Domain,Trevor J. M. Bench-Capon; Thomas F. Gordon,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA220444,conf/jurix/Bench-CaponG22
87,15.97,JURIX,2010,1,6,2,3,8,0,,Temporal Dimensions in Rules Modelling,Monica Palmirani; Guido Governatori; Giuseppe Contissa,,conf/jurix/PalmiraniGC10
88,15.96,JURIX,2023,1,8,0,2,4,1,determinacy,Inferring New Classifications in Legal Case-Based Reasoning,Cecilia Di Florio; Xinghan Liu; Emiliano Lorini; Antonino Rotolo; Giovanni Sartor,http://dx.doi.org/10.3233/faia230942,conf/jurix/FlorioLLRS23
89,15.93,ICAIL,2013,0,9,0,0,2,6,bounded-deontics,A deontic logic semantics for licenses composition in the web of data,Antonino Rotolo; Serena Villata; Fabien Gandon,https://inria.hal.science/hal-00907879/document,conf/icail/RotoloVG13
90,15.89,DEON,2014,1,8,0,2,3,1,bounded-deontics,Detecting Deontic Conflicts in Dynamic Settings,Silvano Colombo Tosatto; Guido Governatori; Pierre Kelsen,,conf/deon/TosattoGK14
91,15.86,JURIX,2023,1,9,1,1,1,0,,Dimensions and Precedential Constraint: Factors Deriving from Multiple Dimensions,Trevor J. M. Bench-Capon; Katie Atkinson,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA230951,conf/jurix/Bench-CaponA23
92,15.81,ICAIL,2003,1,3,1,5,69,4,defeasible-fm,Argumentation Schemes and Generalizations in Reasoning about Evidence,Henry Prakken; Chris Reed; Douglas Walton,,conf/icail/PrakkenRW03
93,15.81,JURIX,2023,1,3,0,0,1,10,bounded-deontics,Permission in a Kelsenian Perspective,Agata Ciabattoni; Xavier Parent; Giovanni Sartor,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA230953,conf/jurix/CiabattoniPS23
94,15.73,ICAIL,2013,1,12,0,3,29,0,,Regorous: a business process compliance checker,Guido Governatori; Sidney Shek,,conf/icail/GovernatoriS13
95,15.66,ICAIL,2017,0,6,2,2,6,4,determinacy,A logical architecture for dynamic legal interpretation,Juliano S. A. Maranhão,,conf/icail/Maranhao17
96,15.62,ICAIL,2019,1,6,2,2,5,0,,Modelling Dialogues for Optimal Legislation,Guido Governatori; Antonino Rotolo; Régis Riveret; Serena Villata,https://hal.science/hal-02381105/document,conf/icail/GovernatoriRRV19
97,15.55,ICAIL,2023,1,4,3,6,9,0,,Hierarchical Precedential Constraint,Wijnand van Woerkom; Davide Grossi; Henry Prakken; Bart Verheij,https://research.rug.nl/en/publications/86dafc73-aa1a-4508-89ff-a20acebcae97,conf/icail/WoerkomGPV23
98,15.5,ICAIL,1989,1,1,3,9,23,3,defeasible-fm|determinacy,Issue Spotting in a System for Searching Interpretation Spaces,Thomas F. Gordon,https://dl.acm.org/doi/pdf/10.1145/74014.74035,conf/icail/Gordon89
99,15.31,JURIX,2010,1,4,3,4,10,0,,A lightweight formal model of two-phase democratic deliberation,Trevor J. M. Bench-Capon; Henry Prakken,,conf/jurix/Bench-CaponP10
100,15.28,ICAIL,2003,0,1,2,7,111,14,bounded-deontics,Permissions and Obligations in Hierarchical Normative Systems,Guido Boella; Leendert W. N. van der Torre,,conf/icail/BoelleT03
101,15.18,ICAIL,2019,1,9,0,0,6,1,bounded-deontics,Norms and Extended Argumentation Frameworks,Trevor J. M. Bench-Capon; Sanjay Modgil,,conf/icail/Bench-CaponM19
102,15.1,ICAIL,2023,1,12,0,2,7,0,,ANGELIC II: An Improved Methodology for Representing Legal Domain Knowledge,Katie Atkinson; Trevor J. M. Bench-Capon,,conf/icail/AtkinsonB23
103,15.06,ICAIL,2017,0,13,2,2,6,1,bounded-deontics,Changes to temporary norms,Matteo Cristani; Francesco Olivieri; Antonino Rotolo,http://hdl.handle.net/11585/626954,conf/icail/CristaniOR17
104,15.04,DEON,2014,1,7,1,1,6,0,,A Preference-Based Semantics for CTD Reasoning,Erica Calardo; Guido Governatori; Antonino Rotolo,,conf/deon/CalardoGR14
105,14.93,ICAIL,2007,1,3,3,8,35,0,,Formalising argumentative story-based analysis of evidence,Floris J. Bex; Henry Prakken; Bart Verheij,https://pure.rug.nl/ws/files/15095375/icail2007bexf.pdf,conf/icail/BexPV07
106,14.93,ICAIL,2023,1,8,0,0,2,1,defeasible-fm,A Formal Framework for Combining Legal Reasoning Methods,Henry Prakken; Giovanni Sartor,https://dl.acm.org/doi/pdf/10.1145/3594536.3595129,conf/icail/PrakkenS23
107,14.83,ICAIL,1991,1,1,2,6,35,4,bounded-deontics|defeasible-fm,The Structure of Norm Conditions and Nonmonotonic Reasoning in Law,Giovanni Sartor,,conf/icail/Sartor91
108,14.82,ICAIL,1993,1,2,3,7,65,1,intro-executable,The Pleadings Game: Formalizing Procedural Justice,Thomas F. Gordon,,conf/icail/Gordon93
109,14.81,ICAIL,2023,1,9,0,0,1,1,defeasible-fm,Whatever Happened to Hypotheticals?,Trevor J. M. Bench-Capon,,conf/icail/Bench-Capon23
110,14.73,ICAIL,1991,0,0,9,20,73,2,determinacy,Reasoning with Portions of Precedents,L. Karl Brenting,,conf/icail/Brenting91
111,14.73,ICAIL,2003,1,3,3,5,53,0,,Towards a Computational Account of Persuasion in Law,Katie Greenwood; Trevor J. M. Bench-Capon; Peter McBurney,,conf/icail/GreenwoodBM03
112,14.7,JURIX,2010,1,3,3,7,22,0,,Lexical Semantics and Expert Legal Knowledge towards the Identification of Legal Case Factors,Adam Z. Wyner; Wim Peters,,conf/jurix/WynerP10
113,14.66,ICAIL,2023,1,6,1,3,16,0,,Combining a Legal Knowledge Model with Machine Learning for Reasoning with Legal Cases,Jack Mumford; Katie Atkinson; Trevor J. M. Bench-Capon,https://dl.acm.org/doi/pdf/10.1145/3594536.3595158,conf/icail/MumfordAB23
114,14.61,JURIX,2015,1,2,0,0,1,11,bounded-deontics|defeasible-fm,Permissions in Deontic Event-Calculus,Guido Governatori; Mustafa Hashmi,,conf/jurix/GovernatoriH15
115,14.59,ICAIL,2017,1,5,2,3,4,0,,Angelic environment: demonstration,Latifa Al-Abdulkarim; Katie Atkinson; Sam Atkinson; Trevor J. M. Bench-Capon,,conf/icail/Al-AbdulkarimAA17
116,14.54,ICAIL,2011,1,6,1,2,24,0,,Argument schemes for two-phase democratic deliberation,Trevor J. M. Bench-Capon; Henry Prakken; Wietske Visser,http://resolver.tudelft.nl/uuid:60c233e2-a279-4099-967f-a9ac2a80aabe,conf/icail/Bench-CaponPV11
117,14.46,ICAIL,2003,0,1,21,32,128,0,,Predicting Outcomes of Case-Based Legal Arguments,Stefanie Brüninghaus; Kevin D. Ashley,,conf/icail/BruninghausA03
118,14.4,ICAIL,2009,0,8,1,11,79,0,,LKIF Core: Principled Ontology Development for the Legal Domain,Rinke Hoekstra; Joost Breuker; Marcello Di Bello; Alexander Boer,,conf/icail/HoekstraBBB09
119,14.36,JURIX,2023,1,13,0,1,1,0,,A Note on Hierarchical Constraints,Trevor J. M. Bench-Capon,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA230940,conf/jurix/Bench-Capon23
120,14.3,JURIX,2012,1,6,1,2,10,0,,What Makes a System a Legal Expert?,Trevor J. M. Bench-Capon,,conf/jurix/Bench-Capon12
121,14.28,JURIX,2020,0,34,1,1,7,2,bounded-deontics,JURI SAYS: An Automatic Judgement Prediction System for the European Court of Human Rights,Masha Medvedeva; Xiao Xu; Martijn Wieling; Michel Vols,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA200883,conf/jurix/MedvedevaXWV20
122,14.28,JURIX,2021,1,7,0,1,2,1,bounded-deontics,Computing Private International Law,Guido Governatori; Francesco Olivieri; Antonino Rotolo; Abdul Sattar; Matteo Cristani,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA210334,conf/jurix/GovernatoriOR0C21
123,14.26,ICAIL,2021,1,8,0,0,8,0,,The burden of persuasion in structured argumentation,Roberta Calegari; Régis Riveret; Giovanni Sartor,https://dl.acm.org/doi/abs/10.1145/3462757.3466078,conf/icail/CalegariRS21
124,14.18,DEON,2010,1,8,0,0,6,0,,A Logical Model of Private International Law,Phan Minh Dung; Giovanni Sartor,,conf/deon/DungS10
125,14.13,ICAIL,2023,1,3,3,4,11,0,,"Justification, stability and relevance for case-based reasoning with incomplete focus cases",Daphne Odekerken; Floris Bex; Henry Prakken,https://research.rug.nl/en/publications/a4978468-a79a-4dac-ae8e-d650f520978b,conf/icail/OdekerkenBP23
126,14.01,ICAIL,2019,0,4,0,2,2,8,bounded-deontics|intro-executable,Automated reasoning in normative detachment structures with ideal conditions,Tomer Libal; Matteo Pascucci,https://arxiv.org/pdf/1810.09993,conf/icail/LibalP19
127,13.9,JURIX,2022,1,4,2,4,14,0,,Modelling and Explaining Legal Case-Based Reasoners Through Classifiers,Xinghan Liu; Emiliano Lorini; Antonino Rotolo; Giovanni Sartor,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA220451,conf/jurix/LiuLRS22
