rank,composite,venue,year,is_seed,cites_cluster,cited_by_seed,indegree,cited_by_count,lex,facets,title,authors,oa_url,key
420,5.21,JURIX,2015,1,0,0,0,1,1,determinacy,Extracting Hohfeldian Relations from Text,Wim Peters; Adam Z. Wyner,,conf/jurix/PetersW15
421,5.21,JURIX,2016,0,0,0,0,1,5,bounded-deontics|determinacy,Perspectives on the Formal Representation of the Interpretation of Norms,Robert van Doesburg; Tom M. van Engers,,conf/jurix/DoesburgE16
422,5.2,ICAIL,2009,0,1,0,0,0,4,determinacy|intro-executable,Using critical questions to disambiguate and formalize statutory provisions,Matthias Grabmair; Kevin D. Ashley,,conf/icail/GrabmairA09
423,5.2,ICAIL,2023,0,1,0,0,0,4,bounded-deontics|intro-executable,On Normative Arrows and Comparing Tax Automation Systems,Paulus N. Meessen,https://dl.acm.org/doi/pdf/10.1145/3594536.3595160,conf/icail/Meessen23
424,5.2,JURIX,2022,0,1,0,0,0,4,bounded-deontics|intro-executable,A Compression and Simulation-Based Approach to Fraud Discovery,Peter Fratric; Giovanni Sileno; Tom M. van Engers; Sander Klous,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA220463,conf/jurix/FratricSEK22
425,5.19,ICAIL,1993,0,0,2,4,19,0,,A Reduction-Graph Model of Ratio Decidendi,Karl Branting,https://dl.acm.org/doi/pdf/10.1145/158976.158981,conf/icail/Branting93
426,5.18,JURIX,2015,0,3,0,0,6,1,determinacy,Representing the Quality of Crime Scenarios in a Bayesian Network,Charlotte S. Vlek; Henry Prakken; Silja Renooij; Bart Verheij,https://hdl.handle.net/11370/1639d395-f79b-470f-a7a3-14b033d5bee5,conf/jurix/VlekPRV15
427,5.17,ICAIL,2001,0,1,1,4,51,0,,Power: Using UML/OCL for modelling legislation - an application report,Tom M. van Engers,,conf/icail/Engers01
428,5.14,ICAIL,2003,0,1,1,3,84,0,,Logic-Based Regulation Compliance-Assistance,Shawn Kerrigan; Kincho H. Law,,conf/icail/KerriganL03
429,5.13,ICAIL,1991,0,4,0,0,2,0,,Knowledge-Based Approaches to Government Benefits Analysis,Marc Lauritsen,https://dl.acm.org/doi/pdf/10.1145/112646.112659,conf/icail/Lauritsen91
430,5.13,ICAIL,2009,0,4,0,0,2,0,,A proposal for evidential reasoning about motives,Floris Bex; Katie Atkinson,,conf/icail/BexA09
431,5.08,JURIX,2012,0,2,1,1,7,0,,Analysis of legal narratives: a conceptual framework,Giovanni Sileno; Alexander Boer; Tom M. van Engers,https://handle.uba.uva.nl/personal/pure/en/publications/analysis-of-legal-narratives-a-conceptual-framework(0f61bad8-965c-442b-b5d1-fec71637362a).html,conf/jurix/SilenoBE12
432,5.08,JURIX,2015,0,0,0,4,13,3,determinacy,Comprehensive Framework Embracing the Complexity of Statutory Interpretation,Michal Araszkiewicz; Tomasz Zurek,http://ruj.uj.edu.pl/xmlui/handle/item/23449,conf/jurix/AraszkiewiczZ15
433,5.06,DEON,2012,0,2,0,0,8,2,bounded-deontics,Temporal Deontic Logic for the Generalised Chisholm Set of Contrary to Duty Obligations,Dov M. Gabbay,https://orbilu.uni.lu/handle/10993/26116,conf/deon/Gabbay12
434,5.02,JURIX,2022,0,3,0,2,5,0,,Toward an Intelligent Tutoring System for Argument Mining in Legal Texts,Hannes Westermann; Jaromír Savelka; Vern R. Walker; Kevin D. Ashley; Karim Benyekhlef,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA220456,conf/jurix/WestermannSWAB22
435,5.01,ICAIL,1997,0,1,0,2,21,2,determinacy,The Exploration of Legal Text Corpora with Hierarchical Neural Networks: A Guided Tour in Public International Law,Dieter Merkl; Erich Schweighofer,,conf/icail/MerklS97
436,5.01,JURIX,2023,0,4,0,0,1,0,,"Improving Rationales with Small, Inconsistent and Incomplete Data",Cor Steging; Silja Renooij; Bart Verheij,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA230945,conf/jurix/StegingRV23
437,5.0,JURIX,2024,0,0,0,0,0,5,bounded-deontics,On Conflicts and Satisfiability in Metric Timed Normative Logics,Karam Younes Kharraz; Gerardo Schneider; Martin Leucker,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA241260,conf/jurix/KharrazSL24
438,5.0,JURIX,2024,1,0,0,0,0,1,intro-executable,Draft Better Contracts,Cosimo Laneve; Alessandro Parenti; Giovanni Sartor,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA241237,conf/jurix/LanevePS24
439,5.0,JURIX,2025,0,0,0,0,0,5,bounded-deontics|determinacy,Contrary-to-Duty Rights: From Hohfeld to Agreement Revision,Huimin Dong; Leendert van der Torre; Liuwen Yu,https://doi.org/10.3233/faia251577,conf/jurix/DongTY25
440,5.0,JURIX,2025,1,0,0,0,0,1,determinacy,Defending the Hierarchical Result Models of Precedential Constraint,Henry Prakken; Wijnand van Woerkom,https://doi.org/10.3233/faia251608,conf/jurix/PrakkenW25
441,5.0,JURIX,2025,0,0,0,0,0,5,determinacy,Label Indeterminacy in AI &amp; Law,Cor Steging; Tadeusz Zbiegien,https://doi.org/10.3233/faia251611,conf/jurix/StegingZ25
442,4.95,ICAIL,1995,0,0,0,0,23,4,bounded-deontics,Solving Normative Conflicts by Merging Roles,Laurence Cholvy; Frédéric Cuppens,https://dl.acm.org/doi/pdf/10.1145/222092.222241,conf/icail/CholvyC95
443,4.92,ICAIL,2009,0,3,0,1,12,0,,"The Flood, the Channels and the Dykes: Managing Legal Information in a Globalized and Digital World",Joost Breuker; Pompeu Casanovas; Michel C. A. Klein; Enrico Francesconi,https://ddd.uab.cat/record/138532,conf/icail/BreukerCKF09
444,4.92,ICAIL,2017,0,1,0,0,10,3,bounded-deontics|determinacy,Towards a legal definition of machine intelligence: the argument for artificial personhood in the age of deep learning,Argyro P. Karanasiou; Dimitris A. Pinotsis,http://gala.gre.ac.uk/id/eprint/24182/7/24182%20KARANASIOU_Towards_a_Legal_Definition_of_Machine_Intelligence_2017.pdf,conf/icail/KaranasiouP17
445,4.91,ICAIL,2007,0,1,1,4,21,0,,Towards qualitative approaches to Bayesian evidential reasoning,Jeroen Keppens,,conf/icail/Keppens07
446,4.88,ICAIL,2007,0,0,0,3,12,3,bounded-deontics|determinacy,Visualization and structure analysis of legislative acts: a case study on the law of obligations,Innar Liiv; Anton Vedeshin; Ermo Täks,,conf/icail/LiivVT07
447,4.88,JURIX,2020,0,2,0,0,4,2,determinacy,Interpretations of Support Among Arguments,Liuwen Yu; Réka Markovich; Leendert van der Torre,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA200863,conf/jurix/YuMT20
448,4.88,JURIX,2024,1,0,0,1,2,0,,Unravelling the ECHR: Components of Legal Case Analysis,Jack Mumford; Katie Atkinson; Trevor J. M. Bench-Capon,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA241238,conf/jurix/MumfordAB24
449,4.88,JURIX,2024,1,0,0,1,2,0,,A Case-Based-Reasoning Analysis of the COMPAS Dataset,Wijnand van Woerkom; Davide Grossi; Henry Prakken; Bart Verheij,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA241244,conf/jurix/WoerkomGPV24
450,4.85,ICAIL,2009,0,1,0,6,37,1,intro-executable,NLP-based metadata extraction for legal text consolidation,Pier-Luigi Spinosa; Gerardo Giardiello; Manola Cherubini; Simone Marchi; Giulia Venturi; Simonetta Montemagni,http://puma.isti.cnr.it/dfdownloadnew.php?ident=cnr.ilc/cnr.ilc/2009-A2-032,conf/icail/SpinosaGCMVM09
451,4.85,JURIX,2012,0,3,0,1,9,0,,Comparing Argument Diagrams,Collin F. Lynch; Kevin D. Ashley; Mohammad Hassan Falakmasir,,conf/jurix/LynchAF12
452,4.82,ICAIL,1995,0,1,1,4,15,0,,Automated Legislative Drafting: Generating Paraphrases of Legislation,Radboud Winkels; Nienke den Haan,https://dl.acm.org/doi/pdf/10.1145/222092.222202,conf/icail/WinkelsH95
453,4.82,ICAIL,2011,0,2,0,0,3,2,defeasible-fm,Causal argumentation schemes to support sense-making in clinical genetics and law,Nancy L. Green,,conf/icail/Green11
454,4.81,ICAIL,1989,0,0,2,2,21,0,,The Design of an Attorney&apos;s Statistical Consultant,L. S. Lutomski,https://dl.acm.org/doi/pdf/10.1145/74014.74043,conf/icail/Lutomski89
455,4.81,ICAIL,2011,0,3,0,0,1,1,bounded-deontics,Can temporal representation and reasoning make a difference in automated legal reasoning?: lessons from an AI-based ethical reasoner,Bruce M. McLaren; Kevin D. Ashley,,conf/icail/McLarenA11
456,4.8,ICAIL,2013,0,4,0,0,0,0,,On balance,Marc Lauritsen,,conf/icail/Lauritsen13
457,4.8,ICAIL,2025,0,4,0,0,0,0,,Generating Legal Arguments with Automatically Identified Factor Magnitudes,Morgan A. Gray; Jaromír Savelka; Wesley M. Oliver; Kevin D. Ashley,https://doi.org/10.1145/3769126.3769212,conf/icail/GraySOA25
458,4.79,DEON,2008,0,2,0,1,15,1,bounded-deontics,A Tableaux System for Deontic Action Logic,Pablo F. Castro; T. S. E. Maibaum,,conf/deon/CastroM08
459,4.79,ICAIL,2019,0,3,0,0,51,0,,Building Legal Case Retrieval Systems with Lexical Matching and Summarization using A Pre-Trained Phrase Scoring Model,Vu D. Tran; Minh Le Nguyen; Ken Satoh,https://arxiv.org/pdf/2009.14083,conf/icail/TranNS19
460,4.75,DEON,2004,0,0,2,2,17,0,,Social Laws in Alternating Time,Michael J. Wooldridge,,conf/deon/Wooldridge04
461,4.75,DEON,2012,0,2,0,1,13,1,bounded-deontics,An Embedding of Input-Output Logic in Deontic Logic Programs,Ricardo Gonçalves; José Júlio Alferes,,conf/deon/GoncalvesA12
462,4.74,ICAIL,1995,0,1,1,3,21,0,,Teleological Reasoning in Reason-Based Logic,Jaap Hage,,conf/icail/Hage95
463,4.74,ICAIL,2003,0,1,0,0,5,3,intro-executable,On Original Generation of Structure in Legal Documents,Steven Orla Kimbrough; Thomas Y. Lee; Balaji Padmanabhan; Yinghui Yang,,conf/icail/KimbroughLPY03
464,4.73,ICAIL,2017,0,2,0,5,19,0,,Semantic types for computational legal reasoning: propositional connectives and sentence roles in the veterans&apos; claims dataset,Vern R. Walker; Ji Hae Han; Xiang Ni; Kaneyasu Yoseda,,conf/icail/WalkerHNY17
465,4.69,ICAIL,1989,0,0,1,3,36,1,determinacy,The Treatment of Negation in Logic Programs for Representing Legislation,Robert A. Kowalski,https://dl.acm.org/doi/pdf/10.1145/74014.74016,conf/icail/Kowalski89
466,4.68,ICAIL,1997,0,0,1,11,53,0,,Finding Legally Relevant Passages in Case Opinions,Jody J. Daniels; Edwina L. Rissland,,conf/icail/DanielsR97
467,4.65,JURIX,2009,0,2,0,1,9,1,bounded-deontics,Legal Change Management with a Native XML Repository,Monica Palmirani; Luca Cervone,,conf/jurix/PalmiraniC09
